Bucket Owner,Bucket,Time,Time - Offset,Remote IP,Requester ARN/Canonical ID,Request ID,Operation,Key,Request-URI,HTTP status,Error Code,Bytes Sent,Object Size,Total Time,Turn-Around Time,Referrer,User-Agent,Version Id,Host Id,Signature Version,Cipher Suite,Authentication Type,Host Header,TLS version
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:16:05:47,+0000],39.103.142.195,-,55724083D164E10A,REST.HEAD.OBJECT,webadmin/login.php,HEAD /webadmin/login.php HTTP/1.1,403,AccessDenied,243,-,58,-,-,-,-,zmuYv7CRlJO59lIXqAeeQS1LW2cDhUg6bkCgCVA4kMiiF+IVlg4zH7/DjuD/vi+U6KUTM84vZHg=,-,-,-,ez-living.s3-eu-west-1.amazonaws.com,-
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:10:29:33,+0000],54.164.181.5,arn:aws:sts::878630915641:assumed-role/S3statLogReaders/S3statLogDownload,74588EA41C0FAC61,REST.GET.BUCKET,-,GET /?max-keys=1 HTTP/1.1,200,-,429,-,27,27,-,aws-sdk-dotnet-35/2.3.23.0 .NET Runtime/4.0 .NET Framework/4.0 OS/6.2.9200.0 ClientSync,-,eD7W8vIwNTfy7tAr10mDV5J13PcEwgFs1JNxdkm50Ydciq/YnuDennvSDMsPJN56dbVOWqxFOmc=,SigV4,ECDHE-RSA-AES128-SHA,AuthHeader,ez-living.s3-eu-west-1.amazonaws.com,TLSv1
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:10:50:30,+0000],54.175.118.73,-,ED2D7D25BB46EC40,REST.GET.LOCATION,-,GET /?location HTTP/1.1,400,AuthorizationHeaderMalformed,365,-,2,-,-,aws-sdk-dotnet-35/2.3.23.0 .NET Runtime/4.0 .NET Framework/4.0 OS/6.2.9200.0 ClientSync,-,2wagzKA2nNpdVDzRhnvDlxL94G+m1vG0ExpxbCR1X78/JqnhNtvIOiUP4r8mh356Q1IA3G6sLA0=,SigV4,ECDHE-RSA-AES128-SHA,AuthHeader,ez-living.s3.amazonaws.com,TLSv1
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:20:43:45,+0000],173.252.83.17,-,635C35D8F276FACD,REST.GET.OBJECT,Waldorf/EZLivingInteriors-Waldorf3Seater.usdz,GET /ez-living/Waldorf/EZLivingInteriors-Waldorf3Seater.usdz HTTP/1.1,206,-,524288,7342582,94,90,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,9usF3MfkBOYiiflZcEYaD+oQh1/ofVcxkouZ8WiYu49l3LvJcwVMj3ckx8ZLeZ/ntmaIuJzi2xw=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:10:50:32,+0000],54.175.118.73,-,E6EEB0A372365B11,REST.GET.BUCKET,-,GET /?max-keys=1 HTTP/1.1,301,PermanentRedirect,455,-,3,-,-,aws-sdk-dotnet-35/2.3.23.0 .NET Runtime/4.0 .NET Framework/4.0 OS/6.2.9200.0 ClientSync,-,FnVoV3x/HKVM3ymeQ7nyEHw8fIGxUDLee4Vd4eUJZKtJuyV6vaDPEKmxb8RSzZvunJArIg9sH2I=,-,ECDHE-RSA-AES128-SHA,-,ez-living.s3-us-west-2.amazonaws.com,TLSv1
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:19:08:09,+0000],114.119.161.59,-,8CE27052F0F7237F,REST.GET.OBJECT,robots.txt,GET /robots.txt HTTP/1.1,403,AccessDenied,243,-,10,-,-,"Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)",-,kKsxX7bHZiqOMiSRF9XTnA32JOKzu5X66ZL4UV9BZvisKrBZHhbOTBfSwqLP44TUEsXPdc+mCIs=,-,ECDHE-RSA-AES128-SHA,-,ez-living.s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:03:04:24,+0000],88.99.161.235,-,2931F02C30171C59,REST.GET.OBJECT,administrator/components/com_wstools/views/sypexdumper/tmpl/sxd/index.php,GET /administrator/components/com_wstools/views/sypexdumper/tmpl/sxd/index.php HTTP/1.1,403,AccessDenied,243,-,17,-,https://ez-living.s3-eu-west-1.amazonaws.com/administrator/components/com_wstools/views/sypexdumper/tmpl/sxd/index.php,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.36",-,ngxBDBK00q5QNYb0OSbZewIWTgddfJN87TRLwtVQzfzXMyVEOrHjclGHBqN/ScglM6oGMA2ZyxI=,-,ECDHE-RSA-AES128-GCM-SHA256,-,ez-living.s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:20:43:45,+0000],173.252.83.111,-,670BA5BBF56732FB,REST.GET.OBJECT,Kendal/EZLivingInteriors_-_KendalArmchairBlue.usdz,GET /ez-living/Kendal/EZLivingInteriors_-_KendalArmchairBlue.usdz HTTP/1.1,206,-,524288,5289013,76,71,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,oIOZrdb/mxfjA0babyD1YNUPmSJpM4/OlyjhKu7uxo4+KplnVQWxk025ceUhHdkN6rYhVTb4xP4=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:11:31:05,+0000],31.13.127.11,-,95FDC5D6EF1DA255,REST.GET.OBJECT,Marlow/MarlowVelvetPink.usdz,GET /Marlow/MarlowVelvetPink.usdz HTTP/1.1,206,-,524288,3036272,96,92,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,ocpb2TWzfH4Btk1P54IO+r7+TCf0E67K596CV/XvwhPLCQUjCfw9CcQTB1tn1y5c1ZhDOvayVCo=,-,ECDHE-RSA-AES128-GCM-SHA256,-,ez-living.s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:00:01:18,+0000],31.13.127.6,-,AC01CFA939BDE867,REST.GET.OBJECT,Juno/EZLivingInteriors_-_JunoLeft.usdz,GET /ez-living/Juno/EZLivingInteriors_-_JunoLeft.usdz HTTP/1.1,206,-,524288,19290476,108,94,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,oWM7yOb08gQ2jLCsYAMkGo+4AixCB9pX7A7LK7jemPp4KN3p+unvaIIa2Z65VdXYs+0F+NNcAQY=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:16:05:47,+0000],39.103.142.195,-,405395CCE6FABCC2,REST.HEAD.OBJECT,dede_ht/login.php,HEAD /dede_ht/login.php HTTP/1.1,403,AccessDenied,243,-,13,-,-,-,-,187LTVCdHa8FWfWVpwma8zQ9OgVf7LZBs0nGJ4DTkCaKfSvjoDXF3vzDoJb9vGg3zM/m4xZ4BHo=,-,-,-,ez-living.s3-eu-west-1.amazonaws.com,-
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:15:36:27,+0000],31.13.115.2,-,E04BFA218C476ECE,REST.GET.OBJECT,Scott/EZLivingInteriors-Scott3Leather.usdz,GET /ez-living/Scott/EZLivingInteriors-Scott3Leather.usdz HTTP/1.1,206,-,524288,7684059,67,63,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,ogrKyi4cxNG1bTqRby00jIM8qhfN4saYpLVpos4W8ffB7QO1XZANDRblCuHDlrH/XtUuOMSRC+Y=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:20:43:45,+0000],173.252.83.12,-,7EAA5CE12BD886BD,REST.GET.OBJECT,Waldorf/EZLivingInteriors-Waldorf2Seater.usdz,GET /ez-living/Waldorf/EZLivingInteriors-Waldorf2Seater.usdz HTTP/1.1,206,-,524288,7380849,103,100,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,2SHCTjrRUE54ygJJUYuSNiaTbsUSNJFzlCvwcI6rTt1TzL4j8RCYG9hzwau+KKjEUywVLBN8G5A=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:21:37:25,+0000],31.13.103.18,-,2C0F5ED2DCDCE9FE,REST.GET.OBJECT,Marlow/MarlowVelvetNavy.usdz,GET /Marlow/MarlowVelvetNavy.usdz HTTP/1.1,206,-,524288,3074032,82,79,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,ci4u+3pToC9G/QBFelhX34O/pYV9Vjjq6Bn0SwxxpGqBrPXye9AIv0mb2wB5QvZ55kvvmbw7gw4=,-,ECDHE-RSA-AES128-GCM-SHA256,-,ez-living.s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:12:53:54,+0000],31.13.127.31,-,3F9833D2DD8394CA,REST.GET.OBJECT,Scott/EZLivingInteriors-Scott3Leather.usdz,GET /ez-living/Scott/EZLivingInteriors-Scott3Leather.usdz HTTP/1.1,206,-,524288,7684059,82,75,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,A+8+Do0Aigg+UZL89+4jfE26UeXs3gRVacR6ZnxIzke5BC2QlSbX9gMHC7KnkXCI7h85hlaAkGw=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:08:33:46,+0000],17.58.102.45,-,2758AD215A718329,REST.GET.OBJECT,Portland/PortlandExpanded.usdz%2B%2BChecklist,GET /ez-living/Portland/PortlandExpanded.usdz%20%20Checklist HTTP/1.1,403,AccessDenied,243,-,15,-,-,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Applebot/0.1; +http://www.apple.com/go/applebot)",-,2NdSCZ8hR6Oz30OSIp1fA3A/G5UnsjIbc398eSoHuqaIE3tYitvMbU5WLpXLlIGJCNCdzAsnfaI=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3.eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:10:29:32,+0000],54.164.181.5,-,DCBA356242206D43,REST.GET.BUCKET,-,GET /?max-keys=1 HTTP/1.1,400,AuthorizationHeaderMalformed,365,-,3,-,-,aws-sdk-dotnet-35/2.3.23.0 .NET Runtime/4.0 .NET Framework/4.0 OS/6.2.9200.0 ClientSync,-,CeVkIh5FdRouYp1Mz5UW69LmwvdPns9wRriMFd1jEUAIoWihRJcraK11yqyw97ivCAvib2/TEpk=,SigV4,ECDHE-RSA-AES128-SHA,AuthHeader,ez-living.s3.amazonaws.com,TLSv1
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:17:30:18,+0000],31.13.127.13,-,E9BF7E2BE61E94EB,REST.GET.OBJECT,Juno/EZLivingInteriors_-_JunoLeft.usdz,GET /ez-living/Juno/EZLivingInteriors_-_JunoLeft.usdz HTTP/1.1,206,-,524288,19290476,81,76,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,P3BGNuuL/ba3khwXCp1/AU0fCk2OFX5ZCm2rZGY9NyW7AK1gymNqtc19ORX4isN26farBhAaRq4=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:16:05:47,+0000],39.103.142.195,-,405F2EFCD8AC7120,REST.HEAD.OBJECT,dedecms/login.php,HEAD /dedecms/login.php HTTP/1.1,403,AccessDenied,243,-,15,-,-,-,-,xFxhDPRQmVTcHHmHV89LGZ/DtkWyQAS/oZKnxNFz9k01Xlt3HuCWQ0LbXNbnyPTKfQlb5oFsm/Q=,-,-,-,ez-living.s3-eu-west-1.amazonaws.com,-
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:20:52:28,+0000],140.255.62.156,-,34E7AEAC386D0065,REST.GET.OBJECT,Farrow/EZ...,GET /ez-living/Farrow/EZ... HTTP/1.1,403,AccessDenied,243,-,13,-,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0),-,DHBeKjiugW7VGvoOLOTUy5UZDYepDjQ/woTHXBAO8N0ov2JRlgBPpPkZM2Sf11kWiDgeP64/jJ0=,-,ECDHE-RSA-AES128-SHA,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:16:05:47,+0000],39.103.142.195,-,09D06D01E4B3FC40,REST.HEAD.OBJECT,dede3/login.php,HEAD /dede3/login.php HTTP/1.1,403,AccessDenied,243,-,13,-,-,-,-,lA+DaxeW89OSUDZ7D4mEKgijkWkjYaAXpK6FtjMpaeuovlCtbXjRCmVQHmmDQgbfYjqRrFP5RZQ=,-,-,-,ez-living.s3-eu-west-1.amazonaws.com,-
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:20:52:38,+0000],140.255.62.156,-,633D03453094D1A9,REST.GET.OBJECT,Farrow/EZ...,GET /ez-living/Farrow/EZ... HTTP/1.1,403,AccessDenied,243,-,11,-,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0),-,Jguo8+87sTcWjn5wSMrq7FKvaRPNmcAvs2wzyzXhtKoI9+OsHGpl+VmMp3sD02XpcvM36Bn2U6M=,-,ECDHE-RSA-AES128-SHA,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:20:43:45,+0000],173.252.83.14,-,A45BE0EDC7073690,REST.GET.OBJECT,Kendal/EZLivingInteriors_-_Kendal2SeaterGrey.usdz,GET /ez-living/Kendal/EZLivingInteriors_-_Kendal2SeaterGrey.usdz HTTP/1.1,206,-,524288,19283204,76,73,-,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),-,DpWfebt5nXd+YRoQBpCmT6rcLjpUtjfh87XFI/wKMRCHZRIMX2RsfikMeHeXst004mguotKzwAw=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:04:37:35,+0000],183.143.59.125,-,8D0131B93BAE64E1,REST.GET.OBJECT,Primrose/EZ...,GET /Primrose/EZ... HTTP/1.1,403,AccessDenied,243,-,22,-,-,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0),-,NhjYXLRAutP8n1puGMSB6WSd3kSrHW5Ifb/jOneEHu87i0D/G4n2m3KUbvsRnwUFqMAvzl087xQ=,-,ECDHE-RSA-AES128-SHA,-,ez-living.s3-eu-west-1.amazonaws.com,TLSv1.2
2f0544e0e64958de8c656135fcdbad1af1b43808c0d0b974fc77f171694c558e,ez-living,[01/Jun/2020:00:43:25,+0000],40.77.167.37,-,7E0E0BCC826908C1,REST.GET.OBJECT,Kendal/EZLivingInteriors_-_Kendal2SeaterGrey.usdz,GET /ez-living/Kendal/EZLivingInteriors_-_Kendal2SeaterGrey.usdz HTTP/1.1,304,-,-,19283204,16,-,-,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),-,Sx+HZ5eCZXB7ju+Vn3MBGwsbZH7WlFRQ3cibkmQMQcKp4a9jKylEGGFt29mIkp8A2ECT0VmEs94=,-,ECDHE-RSA-AES128-GCM-SHA256,-,s3-eu-west-1.amazonaws.com,TLSv1.2
